id,form_id,survey_id,lat,lng,address,state,country,continent
156561050312-4,347,1565610503-4,20.47197,85.55797,NULL,NULL,NULL,NULL
156561050412-4,347,1565610504-4,20.47141,85.5578,NULL,NULL,NULL,NULL
156561050512-4,347,1565610505-4,20.47186,85.55576,NULL,NULL,NULL,NULL
156561050612-4,347,1565610506-4,20.41213,85.55858,NULL,NULL,NULL,NULL
156561050712-4,347,1565610507-4,20.47217,85.55895,NULL,NULL,NULL,NULL
156561050812-4,347,1565610508-4,20.47025,85.55568,NULL,NULL,NULL,NULL
156561050912-4,347,1565610509-4,20.4774,85.55352,NULL,NULL,NULL,NULL
156561051012-4,347,1565610510-4,20.47285,85.50021,NULL,NULL,NULL,NULL
156561051112-4,347,1565610511-4,20.41151,85.55015,NULL,NULL,NULL,NULL
156561051212-4,347,1565610512-4,20.47154,85.55011,NULL,NULL,NULL,NULL
156561051312-4,347,1565610513-4,20.50709,85.5598,NULL,NULL,NULL,NULL
156561051412-4,347,1565610514-4,20.51155,85.55672,NULL,NULL,NULL,NULL
156561051512-4,347,1565610515-4,20.51124,85.55514,NULL,NULL,NULL,NULL
156561051612-4,347,1565610516-4,20.509521,85.55496,NULL,NULL,NULL,NULL
156561051712-4,347,1565610517-4,20.50877,85.5547,NULL,NULL,NULL,NULL
156561051812-4,347,1565610518-4,20.50817,85.55722,NULL,NULL,NULL,NULL
156561051912-4,347,1565610519-4,20.50153,85.55682,NULL,NULL,NULL,NULL
156561052012-4,347,1565610520-4,20.5086,85.5546,NULL,NULL,NULL,NULL
156561052112-4,347,1565610521-4,20.50768,85.5549,NULL,NULL,NULL,NULL
156561052212-4,347,1565610522-4,20.51042,85.55796,NULL,NULL,NULL,NULL
156561052312-4,347,1565610523-4,20.54163,85.668319,NULL,NULL,NULL,NULL
156561052412-4,347,1565610524-4,20.54037,85.665873,NULL,NULL,NULL,NULL
156561052512-4,347,1565610525-4,20.54177,85.66218,NULL,NULL,NULL,NULL
156561052612-4,347,1565610526-4,20.53936,85.66232,NULL,NULL,NULL,NULL
156561052712-4,347,1565610527-4,20.53936,85.66232,NULL,NULL,NULL,NULL
156561052812-4,347,1565610528-4,20.530942,85.66329,NULL,NULL,NULL,NULL
156561052912-4,347,1565610529-4,20.53802,85.66135,NULL,NULL,NULL,NULL
156561053012-4,347,1565610530-4,20.54177,85.66218,NULL,NULL,NULL,NULL
156561053112-4,347,1565610531-4,20.54035,85.66074,NULL,NULL,NULL,NULL
156561053212-4,347,1565610532-4,20.54039,85.651853,NULL,NULL,NULL,NULL
156561053312-4,347,1565610533-4,20.555687,85.692355,NULL,NULL,NULL,NULL
156561053412-4,347,1565610534-4,20.555081,85.693394,NULL,NULL,NULL,NULL
156561053512-4,347,1565610535-4,20.555774,85.693535,NULL,NULL,NULL,NULL
156561053612-4,347,1565610536-4,20.555435,85.692953,NULL,NULL,NULL,NULL
156561053712-4,347,1565610537-4,20.55448,85.695545,NULL,NULL,NULL,NULL
156561053812-4,347,1565610538-4,20.5552,85.693341,NULL,NULL,NULL,NULL
156561053912-4,347,1565610539-4,20.555001,85.692538,NULL,NULL,NULL,NULL
156561054012-4,347,1565610540-4,20.555066,85.691592,NULL,NULL,NULL,NULL
156561054112-4,347,1565610541-4,20.555771,85.692559,NULL,NULL,NULL,NULL
156561054212-4,347,1565610542-4,20.556268,85.693035,NULL,NULL,NULL,NULL
156561054312-4,347,1565610543-4,20.57107,85.746423,NULL,NULL,NULL,NULL
156561054412-4,347,1565610544-4,20.571637,85.746784,NULL,NULL,NULL,NULL
156561054512-4,347,1565610545-4,20.573299,85.746907,NULL,NULL,NULL,NULL
